name,external_id
Chinese noodle restaurant,chinese_noodle_restaurant
Chinese restaurant,chinese_restaurant
Chinese supermarket,chinese_supermarket
Chinese takeaway,chinese_takeaway
Chinese tea house,chinese_tea_house
Chiropractor,chiropractor
Chocolate artisan,chocolate_artisan
Chocolate cafe,chocolate_cafe
Chocolate factory,chocolate_factory
Chocolate shop,chocolate_shop
Choir,choir
Chop bar,chop_bar
Chophouse restaurant,chophouse_restaurant
Christian book store,christian_book_store
Christian church,christian_church
Christian college,christian_college
Christmas market,christmas_market
Christmas store,christmas_store
Christmas tree farm,christmas_tree_farm
Chrysler dealer,chrysler_dealer
Church,church
Church of Christ,church_of_christ
Church of Jesus Christ of Latter-day Saints,church_of_jesus_christ_of_latter_day_saints
Church of the Nazarene,church_of_the_nazarene
Church supply store,church_supply_store
Churreria,churreria
Cider bar,cider_bar
Cider mill,cider_mill
Cig kofte restaurant,cig_kofte_restaurant
Cigar shop,cigar_shop
Cinema equipment supplier,cinema_equipment_supplier
Circus,circus
Citizen information bureau,citizen_information_bureau
Citizens advice bureau,citizens_advice_bureau
Citroen dealer,citroen_dealer
City Department of Environment,city_department_of_environment
City Department of Public Safety,city_department_of_public_safety
City administration,city_administration
City clerk's office,city_clerks_office
City courthouse,city_courthouse
City department of transportation,city_department_of_transportation
City district office,city_district_office
City employment department,city_employment_department
City government office,city_government_office
City or town hall,city_hall
City park,city_park
City pillar shrine,city_pillar_shine
City tax office,city_tax_office
Civic center,civic_center
Civil defense,civil_defence
Civil engineer,civil_engineer
Civil engineering company,civil_engineering_company
Civil examinations academy,civil_examinations_academy
Civil law attorney,civil_law_attorney
Civil police,civil_police
Civil registry,civil_registry
Class,class
Classified ads newspaper publisher,classified_ads_newspaper_publisher
Cleaners,cleaners
Cleaning products supplier,cleaning_products_supplier
Clergyman,clergyman
Clock repair service,clock_repair_service
Clock watch maker,clock_watch_maker
Closed circuit television,closed_circuit_television
Clothes and fabric manufacturer,clothes_and_fabric_manufacturer
Clothes and fabric wholesaler,clothes_and_fabric_wholesaler
Clothes market,clothes_market
Clothing alteration service,clothing_alteration_service
Clothing store,clothing_store
Clothing supplier,clothing_supplier
Clothing wholesale market place,clothing_wholesale_market_place
Clothing wholesaler,clothing_wholesaler
Club,club
Co-ed school,coed_school
Coaching center,coaching_center
Coal exporter,coal_exporter
Coal supplier,coal_supplier
Coalfield,coalfield
Coast guard station,coast_guard_station
Coat wholesaler,coat_wholesaler
Cocktail bar,cocktail_bar
Coffee machine supplier,coffee_machine_supplier
Coffee roasters,coffee_roasters
Coffee shop,coffee_shop
Coffee stand,coffee_stand
Coffee store,coffee_store
Coffee vending machine,coffee_vending_machine
Coffee wholesaler,coffee_wholesaler
Coffin supplier,coffin_supplier
Coin dealer,coin_dealer
Coin operated laundry equipment supplier,coin_operated_laundry_equipment_supplier
Coin operated locker,coin_operated_locker
Cold cut store,cold_cut_store
Cold noodle restaurant,cold_noodle_restaurant
Cold storage facility,cold_storage_facility
Collectibles store,collectibles_store
College,college
College of agriculture,college_of_agriculture
Colombian restaurant,colombian_restaurant
Combined primary and secondary school,combined_primary_and_secondary_school
Comedy club,comedy_club
Comic book store,comic_book_store
Comic cafe,comic_cafe
Commercial agent,commercial_agent
Commercial cleaning service,commercial_cleaning_service
Commercial photographer,advertising_photographer
Commercial printer,commercial_printer
Commercial real estate agency,commercial_real_estate_agency
Commercial real estate inspector,commercial_real_estate_inspector
Commercial refrigeration,commercial_refrigeration
Commercial refrigerator supplier,commercial_refrigerator_supplier
Commissioner for Oaths,commissioner_for_oaths
Communications tower,tower_communication_service
Community center,community_center
Community college,community_college
Community garden,community_garden
Community health centre,community_health_center
Community school,community_school
Company registry,company_registry
Comprehensive secondary school,comprehensive_secondary_school
Compressed natural gas station,cng_station
Computer accessories store,computer_accessories_store
Computer club,computer_club
Computer consultant,computer_consultant
Computer desk store,computer_desk_store
Computer hardware manufacturer,computer_hardware_manufacturer
Computer networking service,computer_networking_center
Computer repair service,computer_repair_service
Computer security service,computer_security_service
Computer service,computer_service
Computer software store,computer_software_store
Computer store,computer_store
Computer support and services,computer_support_and_services
Computer training school,computer_training_school
Computer wholesaler,computer_wholesaler
Concert hall,concert_hall
Concrete contractor,concrete_contractor
Concrete factory,concrete_factory
Concrete metal framework supplier,concrete_metal_framework_supplier
Concrete product supplier,concrete_product_supplier
Condiments supplier,condiments_supplier
Condominium complex,condominium_complex
Condominium rental agency,condominium_rental_agency
Confectionery,confectionery
Confectionery wholesaler,confectionery_wholesaler
Conference center,conference_center
Congregation,congregation
Conservation department,conservation_department
Conservative club,conservative_club
Conservative synagogue,conservative_synagogue
Conservatory construction contractor,conservatory_construction_contractor
Conservatory of music,conservatory_of_music
Conservatory supply & installation,conservatory_specialist
Consignment shop,consignment_shop
Construction and maintenance office,construction_and_maintenance_office
Construction company,construction_company
Construction equipment supplier,construction_equipment_supplier
Construction machine dealer,construction_machine_dealer
Construction machine rental service,construction_machine_rental_service
Construction material wholesaler,construction_material_wholesaler
Consultant,consultant
Consumer advice center,consumer_advice_center
Contact lenses supplier,contact_lenses_supplier
Container service,container_service
Container supplier,container_supplier
Container terminal,container_terminal
Containers supplier,containers_supplier
Contemporary Louisiana restaurant,contemporary_louisiana_restaurant
Continental restaurant,continental_restaurant
Contractor,contractor
Convenience store,convenience_store
Convent,nunnery
Convention center,convention_center
Convention information bureau,convention_information_bureau
Conveyancer,conveyancer
Conveyor belt sushi restaurant,casual_sushi_restaurant
Cookie shop,cookie_shop
Cooking class,cooking_class
Cooking school,cooking_school
Cooling plant,cooling_plant
Cooperative bank,cooperative_bank
Copier repair service,copier_repair_service
Copper supplier,copper_supplier
